id,generation,founder,dosage
1401,2,0,406
1402,2,0,408
1403,2,0,416
1404,2,0,436
1405,2,0,431
1406,2,0,420
1407,2,0,431
1408,2,0,424
1409,2,0,412
1410,2,0,410
1411,2,0,411
1412,2,0,393
1413,2,0,389
1414,2,0,418
1415,2,0,439
1416,2,0,417
1417,2,0,430
1418,2,0,416
1419,2,0,422
1420,2,0,397
1421,2,0,422
1422,2,0,416
1423,2,0,401
1424,2,0,418
1425,2,0,411
1426,2,0,408
1427,2,0,413
1428,2,0,418
1429,2,0,426
1430,2,0,419
1431,2,0,439
1432,2,0,396
1433,2,0,383
1434,2,0,418
1435,2,0,407
1436,2,0,434
1437,2,0,413
1438,2,0,430
1439,2,0,417
1440,2,0,421
1441,2,0,434
1442,2,0,413
1443,2,0,411
1444,2,0,398
1445,2,0,432
1446,2,0,414
1447,2,0,412
1448,2,0,426
1449,2,0,433
1450,2,0,390
1451,2,0,421
1452,2,0,410
1453,2,0,435
1454,2,0,408
1455,2,0,420
1456,2,0,455
1457,2,0,403
1458,2,0,397
1459,2,0,401
1460,2,0,399
1461,2,0,393
1462,2,0,409
1463,2,0,411
1464,2,0,424
1465,2,0,416
1466,2,0,433
1467,2,0,418
1468,2,0,406
1469,2,0,408
1470,2,0,413
1471,2,0,384
1472,2,0,427
1473,2,0,423
1474,2,0,416
1475,2,0,415
1476,2,0,406
1477,2,0,402
1478,2,0,452
1479,2,0,443
1480,2,0,434
1481,2,0,421
1482,2,0,398
1483,2,0,430
1484,2,0,430
1485,2,0,444
1486,2,0,442
1487,2,0,437
1488,2,0,414
1489,2,0,417
1490,2,0,438
1491,2,0,433
1492,2,0,405
1493,2,0,402
1494,2,0,405
1495,2,0,409
1496,2,0,383
1497,2,0,381
1498,2,0,439
1499,2,0,419
1500,3,0,435
1501,3,0,461
1502,3,0,391
1503,3,0,402
1504,3,0,402
1505,3,0,394
1506,3,0,420
1507,3,0,416
1508,3,0,401
1509,3,0,401
1510,3,0,390
1511,3,0,395
1512,3,0,456
1513,3,0,451
1514,3,0,443
1515,3,0,427
1516,3,0,400
1517,3,0,435
1518,3,0,422
1519,3,0,431
1520,3,0,423
1521,3,0,413
1522,3,0,406
1523,3,0,389
1524,3,0,397
1525,3,0,408
1526,3,0,403
1527,3,0,419
1528,3,0,411
1529,3,0,402
1530,3,0,403
1531,3,0,432
1532,3,0,409
1533,3,0,408
1534,3,0,398
1535,3,0,385
1536,3,0,392
1537,3,0,403
1538,3,0,436
1539,3,0,447
1540,3,0,408
1541,3,0,422
1542,3,0,415
1543,3,0,413
1544,3,0,427
1545,3,0,428
1546,3,0,426
1547,3,0,442
1548,3,0,422
1549,3,0,402
1550,3,0,431
1551,3,0,426
1552,3,0,408
1553,3,0,409
1554,3,0,436
1555,3,0,427
1556,3,0,437
1557,3,0,439
1558,3,0,393
1559,3,0,384
1560,3,0,408
1561,3,0,405
1562,3,0,444
1563,3,0,460
1564,3,0,404
1565,3,0,415
1566,3,0,435
1567,3,0,437
1568,3,0,415
1569,3,0,418
1570,3,0,400
1571,3,0,393
1572,3,0,418
1573,3,0,430
1574,3,0,388
1575,3,0,385
1576,3,0,414
1577,3,0,432
1578,3,0,428
1579,3,0,428
1580,3,0,418
1581,3,0,401
1582,3,0,426
1583,3,0,432
1584,3,0,418
1585,3,0,412
1586,3,0,368
1587,3,0,375
1588,3,0,394
1589,3,0,403
1590,3,0,419
1591,3,0,427
1592,3,0,408
1593,3,0,402
1594,3,0,410
1595,3,0,415
1596,3,0,399
1597,3,0,396
1598,3,0,415
1599,3,0,410
1600,3,0,381
1601,3,0,401
1602,3,0,412
1603,3,0,400
1604,3,0,428
1605,3,0,425
1606,3,0,422
1607,3,0,422
1608,3,0,422
1609,3,0,403
1610,3,0,446
1611,3,0,451
1612,3,0,422
1613,3,0,424
1614,3,0,416
1615,3,0,410
1616,3,0,407
1617,3,0,398
1618,3,0,427
1619,3,0,405
1620,3,0,392
1621,3,0,425
1622,3,0,412
1623,3,0,414
1624,3,0,441
1625,3,0,428
1626,3,0,412
1627,3,0,430
1628,3,0,412
1629,3,0,394
1630,3,0,404
1631,3,0,402
1632,3,0,390
1633,3,0,387
1634,3,0,416
1635,3,0,427
1636,3,0,417
1637,3,0,428
1638,3,0,402
1639,3,0,407
1640,3,0,389
1641,3,0,377
1642,3,0,410
1643,3,0,421
1644,3,0,408
1645,3,0,426
1646,3,0,403
1647,3,0,401
1648,3,0,414
1649,3,0,415
1650,3,0,447
1651,3,0,427
